ENTRY DATE,ENTRY PRICE,QUANTITY,TOTAL BUY VALUE,EXIT PRICE,EXIT DATE,TOTAL SELL VALUE,P&L,ROI %,STRATEGY
23/01/2002,19.77,1264,24989.28,20.54,04/02/2002,25962.56,973.28,3.89,System 3 (Double Seven)
19/02/2002,22.53,1109,24985.77,24.34,26/02/2002,26993.06,2007.29,8.03,System 3 (Double Seven)
28/02/2002,21.39,1168,24983.52,21.89,15/03/2002,25567.52,584.0,2.34,System 3 (Double Seven)
21/03/2002,21.39,1168,24983.52,22.13,01/04/2002,25847.84,864.32,3.46,System 3 (Double Seven)
22/04/2002,22.2,1126,24997.2,21.33,05/06/2002,24017.58,-979.62,-3.92,System 3 (Double Seven)
21/06/2002,22.41,1115,24987.15,22.89,10/07/2002,25522.35,535.2,2.14,System 3 (Double Seven)
11/07/2002,22.09,1131,24983.79,21.79,31/07/2002,24644.49,-339.3,-1.36,System 3 (Double Seven)
14/08/2002,21.61,1156,24981.16,21.78,23/08/2002,25177.68,196.52,0.79,System 3 (Double Seven)
11/09/2002,21.91,1141,24999.31,21.79,25/09/2002,24862.39,-136.92,-0.55,System 3 (Double Seven)
14/10/2002,21.62,1156,24992.72,21.95,21/10/2002,25374.2,381.48,1.53,System 3 (Double Seven)
14/11/2002,22.0,1136,24992.0,22.7,20/11/2002,25787.2,795.2,3.18,System 3 (Double Seven)
06/01/2003,26.22,953,24987.66,27.04,16/01/2003,25769.12,781.46,3.13,System 3 (Double Seven)
27/01/2003,26.85,931,24997.35,27.71,04/02/2003,25798.01,800.66,3.2,System 3 (Double Seven)
26/02/2003,28.2,886,24985.2,26.47,20/03/2003,23452.42,-1532.78,-6.13,System 3 (Double Seven)
28/03/2003,25.85,967,24996.95,26.66,04/04/2003,25780.22,783.27,3.13,System 3 (Double Seven)
25/04/2003,26.28,951,24992.28,26.98,06/05/2003,25657.98,665.7,2.66,System 3 (Double Seven)
13/06/2003,32.57,767,24981.19,33.48,19/06/2003,25679.16,697.97,2.79,System 3 (Double Seven)
09/07/2003,35.94,695,24978.3,37.84,14/07/2003,26298.8,1320.5,5.29,System 3 (Double Seven)
05/08/2003,39.04,640,24985.6,40.59,11/08/2003,25977.6,992.0,3.97,System 3 (Double Seven)
